date,visitors,sales_amount,avg_spend,member_visitors,member_ratio,new_member_ratio,repeat_ratio,temp_max,temp_min,precipitation_mm,weather,foot_traffic,sns_mentions,sns_sentiment,point_multiplier,is_sale,coupon_sent,is_holiday,is_weekend,is_payday
2024-01-31,646,1605956,2486,387,0.6,0.046,0.954,13.5,2.1,0.0,sunny,10402,142,0.646,1,0,0,0,0,1
2024-02-01,391,1021292,2612,259,0.662,0.051,0.949,9.7,1.2,19.1,rain,4839,364,0.291,1,0,1,0,0,0
2024-02-02,736,1756832,2387,448,0.609,0.051,0.949,9.6,1.4,0.0,sunny,10374,456,0.439,1,0,0,0,0,0
2024-02-03,1121,3161220,2820,692,0.617,0.079,0.921,9.2,1.3,0.0,sunny,10943,502,0.453,1,1,0,0,1,0
2024-02-04,1039,3030763,2917,649,0.624,0.067,0.933,11.4,0.9,5.2,rain,10895,238,0.718,1,1,0,0,1,0
2024-02-05,615,1445865,2351,453,0.737,0.062,0.938,12.2,-2.2,0.0,sunny,5966,238,0.646,5,0,0,0,0,0
2024-02-06,606,1577418,2603,376,0.62,0.061,0.939,10.4,0.7,0.0,sunny,6416,275,0.502,1,0,0,0,0,0
2024-02-07,561,1335180,2380,366,0.653,0.04,0.96,9.3,-0.2,0.0,sunny,7761,229,0.512,1,0,0,0,0,0
2024-02-08,584,1425544,2441,352,0.602,0.047,0.953,9.4,-1.3,0.0,sunny,6760,368,0.533,1,0,0,0,0,0
2024-02-09,758,1874534,2473,464,0.612,0.048,0.952,11.7,3.3,0.0,cloudy,10155,401,0.596,1,0,0,0,0,0
2024-02-10,1258,3402890,2705,843,0.67,0.038,0.962,11.9,3.4,0.0,sunny,13822,482,0.512,10,0,0,0,1,0
2024-02-11,1172,3023760,2580,699,0.597,0.031,0.969,11.7,2.9,0.0,cloudy,13704,311,0.507,1,0,0,1,1,0
2024-02-12,768,1913856,2492,471,0.614,0.043,0.957,9.9,1.3,0.0,sunny,8732,122,0.442,1,0,0,1,0,0
2024-02-13,348,867564,2493,225,0.647,0.046,0.954,11.4,3.1,18.1,rain,4612,239,0.354,1,0,0,0,0,0
2024-02-14,568,1388192,2444,339,0.596,0.036,0.964,11.3,1.1,0.0,cloudy,6978,258,0.644,1,0,0,0,0,0
2024-02-15,627,1551825,2475,420,0.67,0.052,0.948,11.5,1.5,0.0,sunny,8034,263,0.557,5,0,0,0,0,0
2024-02-16,877,2310895,2635,562,0.641,0.062,0.938,12.6,-0.4,0.0,sunny,10141,497,0.491,1,0,0,0,0,0
2024-02-17,1305,3415185,2617,777,0.595,0.088,0.912,11.7,2.0,0.0,cloudy,12502,445,0.649,1,1,0,0,1,0
2024-02-18,1090,3155550,2895,712,0.653,0.079,0.921,12.5,1.6,0.0,sunny,13876,239,0.503,1,1,0,0,1,0
2024-02-19,619,1510979,2441,385,0.622,0.032,0.968,11.7,-0.4,0.0,sunny,7472,148,0.664,1,0,0,0,0,0
2024-02-20,375,957000,2552,231,0.615,0.057,0.943,12.1,1.6,18.7,rain,5674,237,0.512,1,0,0,0,0,0
2024-02-21,601,1393118,2318,336,0.56,0.051,0.949,12.7,1.6,0.0,cloudy,7179,230,0.554,1,0,0,0,0,0
2024-02-22,671,1635898,2438,408,0.609,0.054,0.946,9.7,4.6,0.0,cloudy,8182,387,0.43,1,0,0,0,0,0
2024-02-23,991,2464617,2487,625,0.631,0.069,0.931,11.5,3.3,0.0,sunny,14143,499,0.733,1,0,0,1,0,0
2024-02-24,1687,5197647,3081,1134,0.672,0.072,0.928,11.4,2.1,0.0,cloudy,16798,658,0.581,1,1,0,0,1,1
2024-02-25,1364,3744180,2745,937,0.687,0.021,0.979,11.2,2.6,0.0,cloudy,13171,235,0.524,5,0,1,0,1,1
2024-02-26,868,2041536,2352,567,0.654,0.039,0.961,11.9,2.4,0.0,cloudy,10005,226,0.626,1,0,0,0,0,1
2024-02-27,693,1690227,2439,405,0.584,0.055,0.945,14.7,2.1,0.0,cloudy,8415,223,0.606,1,0,0,0,0,0
2024-02-28,624,1629264,2611,385,0.616,0.05,0.95,11.2,0.9,0.0,sunny,7610,393,0.655,1,0,0,0,0,0
2024-02-29,837,1966950,2350,550,0.657,0.038,0.962,14.1,2.4,0.0,sunny,10659,245,0.497,1,0,0,0,0,1
2024-03-01,796,1982040,2490,472,0.593,0.036,0.964,10.3,1.7,0.0,sunny,12099,528,0.575,1,0,0,0,0,0
2024-03-02,1475,4312900,2924,957,0.649,0.076,0.924,12.4,1.0,0.0,sunny,14207,475,0.455,1,1,0,0,1,0
2024-03-03,1257,3606333,2869,807,0.642,0.068,0.932,13.3,3.8,0.0,cloudy,13233,272,0.603,1,1,0,0,1,0
2024-03-04,705,2000085,2837,443,0.628,0.055,0.945,14.1,3.8,0.0,cloudy,9230,310,0.548,1,0,0,0,0,0
2024-03-05,704,1775488,2522,465,0.66,0.046,0.954,14.4,0.6,0.0,cloudy,7022,304,0.572,5,0,0,0,0,0
2024-03-06,768,1963008,2556,453,0.59,0.044,0.956,14.6,3.3,0.0,cloudy,8955,160,0.538,1,0,0,0,0,0
2024-03-07,413,992852,2404,278,0.673,0.042,0.958,13.1,5.1,52.3,rain,5149,216,0.38,1,0,0,0,0,0
2024-03-08,631,1619146,2566,403,0.639,0.053,0.947,13.0,5.3,18.2,rain,6579,310,0.331,1,0,0,0,0,0
2024-03-09,1132,3100548,2739,713,0.63,0.05,0.95,15.2,5.4,0.0,cloudy,17441,572,0.613,1,0,0,0,1,0
2024-03-10,1355,3945760,2912,891,0.658,0.082,0.918,13.7,4.1,0.0,cloudy,12538,239,0.669,10,1,1,0,1,0
2024-03-11,686,1710198,2493,426,0.621,0.052,0.948,12.2,2.9,0.0,sunny,8002,246,0.505,1,0,0,0,0,0
2024-03-12,596,1423248,2388,372,0.625,0.049,0.951,12.6,2.7,0.0,sunny,9175,193,0.594,1,0,0,0,0,0
2024-03-13,719,1694683,2357,454,0.632,0.04,0.96,13.1,5.0,0.0,sunny,7780,295,0.585,1,0,0,0,0,0
2024-03-14,687,1806810,2630,441,0.642,0.043,0.957,15.4,5.2,0.0,sunny,8850,219,0.551,1,0,0,0,0,0
2024-03-15,794,1988176,2504,513,0.647,0.046,0.954,15.0,6.7,8.9,rain,10413,553,0.428,5,0,0,0,0,0
2024-03-16,1558,4007176,2572,897,0.576,0.101,0.899,16.0,6.6,0.0,cloudy,14857,325,0.446,1,1,0,0,1,0
2024-03-17,1011,2888427,2857,629,0.623,0.037,0.963,14.4,4.9,0.0,sunny,11190,240,0.488,1,0,0,0,1,0
2024-03-18,721,1730400,2400,409,0.568,0.046,0.954,15.5,3.4,0.0,cloudy,9687,309,0.379,1,0,0,0,0,0
2024-03-19,638,1575222,2469,389,0.61,0.051,0.949,16.3,4.9,0.0,cloudy,8434,367,0.663,1,0,0,0,0,0
2024-03-20,875,2366875,2705,529,0.605,0.047,0.953,15.1,5.9,0.0,cloudy,12979,337,0.579,1,0,0,1,0,0
2024-03-21,904,2243728,2482,574,0.635,0.061,0.939,16.4,5.4,0.0,cloudy,8995,426,0.548,1,0,0,0,0,0
2024-03-22,970,2405600,2480,659,0.679,0.047,0.953,14.9,5.0,0.0,cloudy,12704,399,0.375,1,0,0,0,0,0
2024-03-23,1180,2907520,2464,663,0.562,0.048,0.952,15.5,6.5,0.0,sunny,17702,581,0.404,1,0,0,0,1,0
2024-03-24,1212,2920920,2410,834,0.688,0.058,0.942,15.7,5.5,0.0,sunny,14476,265,0.55,1,0,0,0,1,1
2024-03-25,903,2306262,2554,599,0.663,0.068,0.932,14.6,5.5,0.0,sunny,10476,348,0.708,5,0,0,0,0,1
2024-03-26,842,2142890,2545,531,0.63,0.064,0.936,17.3,7.1,0.0,sunny,10832,303,0.494,1,0,0,0,0,1
2024-03-27,761,1931418,2538,440,0.578,0.049,0.951,16.1,6.2,0.0,sunny,8686,254,0.728,1,0,0,0,0,0
2024-03-28,817,1993480,2440,531,0.65,0.05,0.95,17.0,7.3,0.0,cloudy,10109,456,0.512,1,0,0,0,0,0
2024-03-29,1040,2603120,2503,646,0.621,0.05,0.95,17.8,7.5,0.0,sunny,13617,403,0.554,1,0,0,0,0,1
2024-03-30,879,2095536,2384,543,0.618,0.051,0.949,18.0,5.6,60.3,rain,11490,369,0.497,1,0,0,0,1,1
2024-03-31,887,2381595,2685,498,0.562,0.042,0.958,18.5,6.7,28.6,rain,10854,266,0.372,1,0,0,0,1,1
2024-04-01,632,1592640,2520,393,0.622,0.059,0.941,17.5,9.8,6.1,rain,8659,283,0.495,1,0,0,0,0,0
2024-04-02,778,2137166,2747,502,0.645,0.052,0.948,17.2,6.1,0.0,sunny,9400,313,0.663,1,0,0,0,0,0
2024-04-03,773,1933273,2501,474,0.613,0.05,0.95,17.9,4.8,0.0,sunny,9088,311,0.554,1,0,0,0,0,0
2024-04-04,691,1645962,2382,453,0.655,0.037,0.963,15.7,5.4,0.0,cloudy,9357,418,0.637,1,0,0,0,0,0
2024-04-05,1039,2668152,2568,731,0.704,0.051,0.949,16.2,8.4,0.0,sunny,12018,433,0.495,5,0,0,0,0,0
2024-04-06,988,2842476,2877,594,0.601,0.061,0.939,16.6,8.6,13.8,rain,11431,472,0.513,1,1,0,0,1,0
2024-04-07,1172,3503108,2989,783,0.668,0.074,0.926,17.2,8.6,10.7,rain,10948,230,0.422,1,1,0,0,1,0
2024-04-08,798,1997394,2503,496,0.621,0.044,0.956,19.5,10.8,0.0,cloudy,10486,279,0.585,1,0,0,0,0,0
2024-04-09,857,2007951,2343,533,0.621,0.053,0.947,17.8,5.1,0.0,cloudy,7766,274,0.561,1,0,0,0,0,0
2024-04-10,990,2340360,2364,666,0.673,0.069,0.931,18.7,9.9,0.0,sunny,9202,215,0.51,10,0,0,0,0,0
2024-04-11,509,1289297,2533,317,0.622,0.056,0.944,21.4,11.8,28.6,rain,6678,476,0.4,1,0,0,0,0,0
2024-04-12,875,2338875,2673,473,0.541,0.064,0.936,19.1,8.0,0.0,sunny,11651,466,0.515,1,0,0,0,0,0
2024-04-13,1267,3338545,2635,778,0.614,0.056,0.944,21.0,9.3,0.0,cloudy,19447,460,0.627,1,0,0,0,1,0
2024-04-14,1101,3007932,2732,638,0.579,0.061,0.939,18.7,8.9,0.0,sunny,15079,367,0.534,1,0,0,0,1,0
2024-04-15,992,2683360,2705,713,0.719,0.069,0.931,19.9,8.9,0.0,sunny,10560,202,0.43,5,0,0,0,0,0
2024-04-16,781,1978273,2533,521,0.668,0.043,0.957,19.0,9.9,0.0,sunny,9293,373,0.416,1,0,0,0,0,0
2024-04-17,958,2297284,2398,618,0.646,0.042,0.958,20.1,12.8,0.0,sunny,10605,368,0.614,1,0,0,0,0,0
2024-04-18,913,2304412,2524,560,0.613,0.057,0.943,22.1,13.6,0.0,sunny,9472,229,0.599,1,0,1,0,0,0
2024-04-19,1068,2831268,2651,630,0.59,0.05,0.95,18.4,10.5,0.0,sunny,12683,447,0.458,1,0,0,0,0,0
2024-04-20,1395,3759525,2695,837,0.6,0.052,0.948,21.8,14.0,0.0,sunny,15468,664,0.574,1,0,0,0,1,0
2024-04-21,1637,4966658,3034,1110,0.678,0.078,0.922,21.7,11.4,0.0,sunny,15139,366,0.561,1,1,0,0,1,0
2024-04-22,867,2117214,2442,520,0.599,0.044,0.956,20.7,14.2,0.0,cloudy,7889,316,0.545,1,0,0,0,0,0
2024-04-23,739,1829025,2475,406,0.549,0.066,0.934,19.6,11.6,0.0,cloudy,8851,409,0.585,1,0,0,0,0,0
2024-04-24,1072,2663920,2485,698,0.651,0.039,0.961,22.1,12.1,0.0,cloudy,13795,537,0.563,1,0,0,0,0,1
2024-04-25,1143,2935224,2568,817,0.715,0.057,0.943,21.3,12.7,0.0,cloudy,14139,325,0.521,5,0,0,0,0,1
2024-04-26,775,2050650,2646,519,0.67,0.055,0.945,22.7,17.1,20.8,rain,11328,496,0.374,1,0,0,0,0,1
2024-04-27,1114,2581138,2317,725,0.651,0.034,0.966,22.5,13.8,0.0,cloudy,19780,482,0.584,1,0,0,0,1,0
2024-04-28,1318,3465022,2629,865,0.656,0.042,0.958,25.1,11.6,0.0,sunny,16842,301,0.681,1,0,0,0,1,0
2024-04-29,893,2223570,2490,555,0.622,0.043,0.957,22.5,14.3,14.4,rain,10581,453,0.535,1,0,0,1,0,1
2024-04-30,1023,2382567,2329,571,0.558,0.056,0.944,21.5,12.5,0.0,sunny,10542,411,0.441,1,0,1,0,0,1
2024-05-01,866,2237744,2584,538,0.621,0.046,0.954,23.5,12.5,0.0,cloudy,11852,413,0.522,1,0,0,0,0,0
2024-05-02,875,2107875,2409,559,0.639,0.049,0.951,23.8,14.8,0.0,sunny,11206,370,0.425,1,0,0,0,0,0
2024-05-03,1025,2516375,2455,631,0.616,0.035,0.965,25.7,13.7,11.0,rain,16435,688,0.522,1,0,0,1,0,0
2024-05-04,2211,7064145,3195,1359,0.615,0.103,0.897,25.1,14.2,0.0,cloudy,21139,918,0.631,1,1,0,1,1,0
2024-05-05,2146,6762046,3151,1376,0.641,0.081,0.919,24.5,14.0,0.0,cloudy,24012,440,0.578,5,1,0,1,1,0
2024-05-06,1068,2746896,2572,630,0.59,0.055,0.945,26.4,14.7,0.0,sunny,13361,314,0.563,1,0,0,1,0,0
2024-05-07,850,2165800,2548,574,0.675,0.045,0.955,22.6,15.0,5.6,rain,10462,263,0.66,1,0,1,0,0,0
2024-05-08,642,1591518,2479,434,0.676,0.043,0.957,23.6,11.6,23.7,rain,8519,473,0.695,1,0,0,0,0,0
2024-05-09,971,2670250,2750,602,0.62,0.069,0.931,23.3,15.7,0.0,cloudy,10492,401,0.818,1,0,0,0,0,0
2024-05-10,1293,3462654,2678,877,0.678,0.031,0.969,24.3,13.4,0.0,sunny,13080,587,0.587,10,0,0,0,0,0
2024-05-11,1293,3267411,2527,764,0.591,0.053,0.947,23.0,12.9,0.0,cloudy,16014,584,0.522,1,0,0,0,1,0
2024-05-12,1310,3197710,2441,837,0.639,0.038,0.962,26.2,15.2,0.0,sunny,14136,413,0.611,1,0,0,0,1,0
2024-05-13,790,2031090,2571,532,0.673,0.046,0.954,25.1,15.5,0.0,cloudy,11810,349,0.615,1,0,0,0,0,0
2024-05-14,781,1947033,2493,448,0.574,0.044,0.956,23.4,14.5,0.0,cloudy,10312,275,0.535,1,0,0,0,0,0
2024-05-15,793,1896063,2391,542,0.684,0.04,0.96,24.2,17.0,0.0,cloudy,10950,349,0.522,5,0,0,0,0,0
2024-05-16,892,2278168,2554,567,0.636,0.05,0.95,26.4,13.9,0.0,cloudy,11919,541,0.641,1,0,0,0,0,0
2024-05-17,1216,2998656,2466,773,0.636,0.024,0.976,27.4,15.5,0.0,cloudy,11126,454,0.683,1,0,0,0,0,0
2024-05-18,1381,3721795,2695,924,0.669,0.047,0.953,29.3,15.4,0.0,sunny,19640,464,0.49,1,0,0,0,1,0
2024-05-19,1304,3498632,2683,888,0.681,0.049,0.951,30.8,16.4,0.0,cloudy,15055,402,0.529,1,0,0,0,1,0
2024-05-20,1029,2494296,2424,631,0.613,0.036,0.964,27.2,17.0,0.0,cloudy,11632,283,0.578,1,0,0,0,0,0
2024-05-21,711,1833669,2579,455,0.64,0.065,0.935,25.3,15.2,9.1,rain,9183,453,0.589,1,0,0,0,0,0
2024-05-22,834,2033292,2438,519,0.623,0.044,0.956,23.7,18.0,0.0,cloudy,12520,302,0.508,1,0,0,0,0,0
2024-05-23,865,2115790,2446,520,0.601,0.048,0.952,27.5,17.2,0.0,cloudy,11186,398,0.701,1,0,0,0,0,0
2024-05-24,1246,3031518,2433,783,0.628,0.044,0.956,26.0,14.4,1.4,rain,12262,836,0.584,1,0,0,0,0,1
2024-05-25,1800,5135400,2853,1242,0.69,0.049,0.951,26.8,14.4,0.0,sunny,20768,622,0.593,5,0,1,0,1,1
2024-05-26,1650,4270200,2588,1034,0.627,0.063,0.937,26.6,17.5,0.0,sunny,19894,331,0.865,1,0,0,0,1,1
2024-05-27,973,2599856,2672,578,0.594,0.075,0.925,27.5,17.4,0.0,cloudy,9960,306,0.514,1,0,0,0,0,0
2024-05-28,884,2407132,2723,536,0.606,0.057,0.943,29.4,17.7,0.0,sunny,10465,466,0.543,1,0,0,0,0,0
2024-05-29,951,2290008,2408,577,0.606,0.061,0.939,28.2,17.9,0.0,cloudy,11990,448,0.45,1,0,1,0,0,1
2024-05-30,1032,2203320,2135,614,0.595,0.067,0.933,27.9,18.5,0.0,sunny,11300,527,0.536,1,0,0,0,0,1
2024-05-31,1273,3349263,2631,801,0.629,0.052,0.948,26.7,19.7,0.0,sunny,17136,407,0.431,1,0,0,0,0,1
2024-06-01,1202,3455750,2875,760,0.633,0.096,0.904,25.9,16.7,23.7,rain,11154,460,0.46,1,1,0,0,1,0
2024-06-02,1120,3133760,2798,727,0.649,0.088,0.912,27.8,16.8,22.9,rain,10189,532,0.434,1,1,0,0,1,0
2024-06-03,1053,2554578,2426,626,0.594,0.051,0.949,28.6,17.0,0.0,cloudy,10555,312,0.528,1,0,0,0,0,0
2024-06-04,637,1559376,2448,384,0.603,0.054,0.946,31.5,19.3,12.1,rain,8873,289,0.535,1,0,0,0,0,0
2024-06-05,738,2023596,2742,529,0.717,0.032,0.968,29.2,20.8,8.4,rain,8924,268,0.611,5,0,0,0,0,0
2024-06-06,924,2328480,2520,568,0.615,0.053,0.947,30.6,18.4,0.0,sunny,11182,244,0.459,1,0,0,0,0,0
2024-06-07,684,1819440,2660,425,0.621,0.035,0.965,28.5,15.5,26.7,rain,8588,341,0.416,1,0,0,0,0,0
2024-06-08,929,2499010,2690,571,0.615,0.034,0.966,27.6,16.8,30.3,rain,12275,294,0.456,1,0,0,0,1,0
2024-06-09,827,2136968,2584,541,0.654,0.052,0.948,28.0,18.2,36.0,rain,12085,386,0.257,1,0,0,0,1,0
2024-06-10,843,2128575,2525,594,0.705,0.039,0.961,28.5,18.7,0.0,cloudy,11843,380,0.605,10,0,0,0,0,0
2024-06-11,807,2073990,2570,527,0.653,0.05,0.95,32.9,19.1,0.0,cloudy,10684,266,0.416,1,0,0,0,0,0
2024-06-12,589,1533167,2603,366,0.621,0.051,0.949,28.6,19.9,15.7,rain,7911,324,0.391,1,0,0,0,0,0
2024-06-13,963,2527875,2625,572,0.594,0.052,0.948,31.2,19.5,0.0,cloudy,9525,367,0.457,1,0,0,0,0,0
2024-06-14,1196,2950532,2467,811,0.678,0.041,0.959,28.7,21.6,0.0,sunny,12620,693,0.664,1,0,1,0,0,0
2024-06-15,1404,3824496,2724,977,0.696,0.059,0.941,31.5,19.1,0.0,sunny,17007,377,0.457,5,0,0,0,1,0
2024-06-16,995,2688490,2702,603,0.606,0.049,0.951,30.8,18.9,11.2,rain,11472,189,0.268,1,0,0,0,1,0
2024-06-17,581,1424612,2452,385,0.663,0.054,0.946,30.1,21.1,11.2,rain,7598,342,0.411,1,0,0,0,0,0
2024-06-18,755,1780290,2358,456,0.604,0.038,0.962,30.4,18.1,0.0,sunny,8383,279,0.517,1,0,0,0,0,0
2024-06-19,673,1614527,2399,446,0.662,0.048,0.952,29.6,21.1,12.6,rain,6974,211,0.28,1,0,0,0,0,0
2024-06-20,868,2143960,2470,577,0.664,0.061,0.939,31.3,20.8,0.0,sunny,10764,359,0.592,1,0,0,0,0,0
2024-06-21,1163,3004029,2583,689,0.592,0.06,0.94,30.0,20.5,0.0,sunny,13557,358,0.391,1,0,0,0,0,0
2024-06-22,838,2338020,2790,534,0.637,0.042,0.958,29.0,23.2,16.0,rain,11183,541,0.317,1,0,0,0,1,0
2024-06-23,1279,3129713,2447,823,0.643,0.045,0.955,29.0,20.0,0.0,sunny,16387,344,0.504,1,0,0,0,1,0
2024-06-24,962,2332850,2425,672,0.698,0.04,0.96,31.2,24.1,0.0,cloudy,11898,342,0.614,1,0,0,0,0,1
2024-06-25,1113,2814777,2529,721,0.648,0.043,0.957,33.4,20.7,0.0,sunny,12685,275,0.654,5,0,1,0,0,1
2024-06-26,692,1798508,2599,459,0.663,0.036,0.964,31.4,19.2,21.0,rain,7754,316,0.488,1,0,0,0,0,1
2024-06-27,948,2307432,2434,588,0.621,0.049,0.951,31.0,21.3,0.0,cloudy,11843,433,0.538,1,0,0,0,0,0
2024-06-28,1184,2896064,2446,690,0.583,0.056,0.944,31.7,19.7,0.0,cloudy,13634,488,0.356,1,0,0,0,0,0
2024-06-29,1520,3708800,2440,937,0.616,0.042,0.958,33.3,20.2,0.0,sunny,16772,433,0.581,1,0,0,0,1,1
2024-06-30,1583,4255104,2688,982,0.62,0.049,0.951,31.7,22.0,0.0,sunny,17931,362,0.668,1,0,0,0,1,1
2024-07-01,804,1993920,2480,473,0.588,0.048,0.952,30.8,22.3,0.0,sunny,9499,234,0.649,1,0,0,0,0,0
2024-07-02,556,1344408,2418,350,0.629,0.061,0.939,33.2,20.6,12.2,rain,7434,346,0.437,1,0,0,0,0,0
2024-07-03,854,2107672,2468,554,0.649,0.044,0.956,32.2,23.1,1.3,rain,9384,237,0.455,1,0,0,0,0,0
2024-07-04,613,1618933,2641,384,0.627,0.044,0.956,33.9,23.4,9.8,rain,8896,372,0.508,1,0,0,0,0,0
2024-07-05,1171,2864266,2446,766,0.654,0.042,0.958,31.9,23.8,0.0,cloudy,11497,775,0.705,5,0,0,0,0,0
2024-07-06,1728,4841856,2802,1064,0.616,0.069,0.931,29.9,22.5,0.0,sunny,17610,453,0.437,1,1,0,0,1,0
2024-07-07,1682,5227656,3108,1043,0.62,0.085,0.915,29.7,23.8,0.0,cloudy,16948,240,0.458,1,1,0,0,1,0
2024-07-08,536,1344824,2509,336,0.627,0.049,0.951,34.3,19.0,39.3,rain,7335,350,0.475,1,0,0,0,0,0
2024-07-09,783,2023272,2584,512,0.653,0.051,0.949,34.4,21.4,0.0,sunny,9006,410,0.516,1,0,0,0,0,0
2024-07-10,1002,2632254,2627,680,0.678,0.063,0.937,31.6,20.6,0.0,sunny,10448,191,0.455,10,0,0,0,0,0
2024-07-11,542,1352832,2496,313,0.578,0.063,0.937,31.3,22.1,18.8,rain,7236,470,0.522,1,0,0,0,0,0
2024-07-12,1097,2694232,2456,662,0.603,0.034,0.966,34.1,21.1,0.0,sunny,15568,505,0.83,1,0,0,0,0,0
2024-07-13,1438,3931492,2734,899,0.625,0.056,0.944,30.3,21.7,0.0,sunny,14819,381,0.519,1,0,0,0,1,0
2024-07-14,1259,3497502,2778,823,0.654,0.052,0.948,30.6,24.8,0.0,sunny,14328,315,0.458,1,0,0,0,1,0
2024-07-15,953,2587395,2715,676,0.709,0.045,0.955,32.9,21.7,5.7,rain,14814,330,0.714,5,0,0,1,0,0
2024-07-16,798,1876896,2352,537,0.673,0.053,0.947,31.4,22.6,0.0,cloudy,9760,339,0.548,1,0,0,0,0,0
2024-07-17,916,2439308,2663,572,0.624,0.033,0.967,32.0,21.6,0.0,cloudy,8353,273,0.662,1,0,0,0,0,0
2024-07-18,836,2052380,2455,537,0.643,0.065,0.935,31.8,22.1,0.0,cloudy,10154,430,0.621,1,0,0,0,0,0
2024-07-19,1006,2420436,2406,580,0.576,0.055,0.945,32.5,22.0,0.0,cloudy,9400,655,0.508,1,0,0,0,0,0
2024-07-20,1248,3248544,2603,790,0.633,0.041,0.959,34.1,22.7,0.0,sunny,17390,367,0.658,1,0,0,0,1,0
2024-07-21,796,2176264,2734,468,0.588,0.044,0.956,32.1,23.7,20.9,rain,10788,364,0.516,1,0,0,0,1,0
